userId,model,tripId,value,receivedAt
"689a4e649917c7d48bc33c19","collabFil","6898bdfaf412f908a00ad2a9","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","6898f9c4a24cb89d8c682297","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","689909e40ee5b7265a8cfb5d","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","6898f4f5a24cb89d8c6820b9","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","6899052c0ee5b7265a8cf98d","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","6898fb08a24cb89d8c682310","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","6898bd4af412f908a00ad290","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","6898c23cf412f908a00ad347","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","6898feeda24cb89d8c682494","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","collabFil","689908ec0ee5b7265a8cfb01","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","6898b5e8147d129700da6a0f","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","6898b5e8147d129700da6a0d","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","6899fe0f2b57feba9b9915ce","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","6899ed9c8c9448fa9b2d05b5","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","6899ed9c8c9448fa9b2d05b4","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","6898b39a13a6d0ace3013f76","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","689910a75549c9e2a8efbdbb","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","689a05f72b57feba9b991674","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","6899cdd7d1805c33dcb42a9e","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","contentBased","6898b8b0f412f908a00ad1e6","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","689909e40ee5b7265a8cfb5d","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","689909e40ee5b7265a8cfb63","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","6898f39ea24cb89d8c68203c","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","6898f829a24cb89d8c6821fc","1","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","6898fabaa24cb89d8c6822f5","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","6898fb59a24cb89d8c682330","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","6898fe9ba24cb89d8c68246d","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","689907580ee5b7265a8cfa66","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","689903300ee5b7265a8cf8c7","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","mostLiked","6898f546a24cb89d8c6820de","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","6899fe0f2b57feba9b9915ce","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","6899ed9c8c9448fa9b2d05b5","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","6899ed9c8c9448fa9b2d05b4","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","6898b39a13a6d0ace3013f76","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","689910a75549c9e2a8efbdbb","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","689a05f72b57feba9b991674","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","6898c234f412f908a00ad346","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","6898f39ea24cb89d8c682040","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","6898f3fba24cb89d8c682059","0","2025-08-11T20:15:35.482Z"
"689a4e649917c7d48bc33c19","newDestinations","6898bdd7f412f908a00ad2a5","0","2025-08-11T20:15:35.482Z"
