userId,tripId,label,tag_overlap_count,tag_overlap_weighted,travel_style_match,budget_similarity,recent_dest_weight,favorite_dest_match,trip_likes_count,trip_saved_count,creator_followed,social_lift,content_score,recency_days,user_avgBudget,user_travelStyle,trip_destination,trip_travelStyle,trip_budget
689a17919917c7d48bc33add,6898bd6ff412f908a00ad297,0,0,0.0,0,0.0,0.0,0,13,3,0,0,0.0,,,Culture,Seoul,,1200
6899fa2f2b57feba9b991576,6898bdaaf412f908a00ad29e,0,0,0.0,0,0.0,0.0,0,30,11,0,0,0.0,,,foodie,Dubai,,1500
6899f5622b57feba9b99151d,6898bfeff412f908a00ad2f2,0,0,0.0,0,0.0,0.0,0,48,21,0,0,0.0,,,Adventure,Marrakesh,,3500
6899ed9c8c9448fa9b2d05b0,6898fb08a24cb89d8c682313,0,0,0.0,0,0.0,0.0,0,59,30,0,0,0.0,,,budget,Seville,,1500
6899fe0f2b57feba9b9915c9,6898bbeaf412f908a00ad25d,0,0,0.0,0,0.0,0.0,0,8,2,0,0,0.0,,,foodie,Aswan,,1800
689a14e29917c7d48bc33a9e,6898bb41f412f908a00ad245,0,0,0.0,0,0.0,0.0,0,11,5,0,0,0.0,,,Adventure,Phuket,,1200
689a1b489917c7d48bc33b36,6898f4a1a24cb89d8c682098,0,0,0.0,0,0.0,0.0,0,53,22,0,0,0.0,,,Luxury,Tuscany,,1200
689a1b489917c7d48bc33b36,6898bb7cf412f908a00ad24c,0,0,0.0,0,0.0,0.0,0,23,16,0,0,0.0,,,Luxury,Langkawi,,1500
6899ed9c8c9448fa9b2d05b0,6898ffeea24cb89d8c6824ef,0,0,0.0,0,0.0,0.0,0,30,17,0,0,0.0,,,budget,Bangkok,,700
689a1e839917c7d48bc33b89,6899052c0ee5b7265a8cf987,0,0,0.0,0,0.0,0.0,0,23,12,0,0,0.0,,,Adventure,Buenos Aires,,1800
6899f5622b57feba9b99151d,6898ffeea24cb89d8c6824ec,0,0,0.0,0,0.0,0.0,0,10,2,0,0,0.0,,,Adventure,Aspen,,800
689a4e649917c7d48bc33c19,6898be82f412f908a00ad2bd,0,0,0.0,0,0.0,0.0,0,5,2,0,0,0.0,,,Luxury,Oxford,,1500
689a05f72b57feba9b99166f,6898fb59a24cb89d8c682330,0,0,0.0,0,0.0,0.0,0,67,18,0,0,0.0,,,Culture,Lisbon,,1200
6899fa2f2b57feba9b991576,6898ba21f412f908a00ad219,0,0,0.0,0,0.0,0.0,0,46,19,0,0,0.0,,,foodie,Helsinki,,1200
